0.000;3.833;7.666
100.000;3.838;7.675
200.000;3.835;7.669
300.000;3.837;7.674
400.000;3.836;7.672
500.000;3.834;7.668
600.000;3.837;7.674
700.000;3.834;7.667
800.000;3.837;7.675
900.000;3.833;7.666
1.000.000;3.837;7.673
1.100.000;3.834;7.667
1.200.000;3.837;7.673
1.300.000;3.837;7.675
1.400.000;3.834;7.667
1.500.000;3.837;7.674
1.600.000;3.837;7.674
1.700.000;3.837;7.674
1.801.000;3.838;7.675
1.901.000;3.833;7.666
2.001.000;3.836;7.672
2.101.000;3.834;7.668
2.201.000;3.837;7.673
2.301.000;3.837;7.673
2.401.000;3.837;7.673
2.501.000;3.837;7.675
2.601.000;3.836;7.673
2.701.000;3.836;7.673
2.801.000;3.833;7.667
2.901.000;3.837;7.675
3.001.000;3.836;7.673
3.101.000;3.836;7.673
3.201.000;3.837;7.674
3.301.000;3.837;7.674
3.401.000;3.837;7.674
3.502.000;3.835;7.671
3.603.000;3.837;7.673
3.703.000;3.837;7.673
3.803.000;3.837;7.673
3.903.000;3.837;7.673
4.003.000;3.837;7.673
4.103.000;3.833;7.666
4.204.000;3.837;7.673
4.304.000;3.837;7.674
4.404.000;3.833;7.666
4.504.000;3.837;7.673
4.604.000;3.837;7.674
4.704.000;3.837;7.675
4.804.000;3.836;7.672
4.904.000;3.833;7.667
5.004.000;3.815;7.631
5.104.000;3.728;7.457
5.204.000;3.657;7.314
5.304.000;3.584;7.168
5.404.000;3.516;7.033
5.504.000;3.452;6.903
5.604.000;3.387;6.773
5.704.000;3.326;6.651
5.804.000;3.270;6.540
5.904.000;3.208;6.416
6.004.000;3.156;6.312
6.104.000;3.100;6.199
6.204.000;3.047;6.095
6.304.000;3.002;6.003
6.404.000;2.949;5.898
6.504.000;2.903;5.805
6.605.000;2.855;5.711
6.706.000;2.809;5.619
6.806.000;2.765;5.531
6.906.000;2.719;5.438
7.006.000;2.679;5.359
7.107.000;2.639;5.278
7.207.000;2.596;5.192
7.307.000;2.556;5.112
7.408.000;2.519;5.038
7.509.000;2.483;4.966
7.609.000;2.443;4.885
7.709.000;2.406;4.811
7.809.000;2.369;4.737
7.909.000;2.332;4.664
8.009.000;2.298;4.596
8.109.000;2.265;4.529
8.209.000;2.227;4.454
8.310.000;2.193;4.387
8.411.000;2.161;4.323
8.511.000;2.131;4.262
8.611.000;2.097;4.194
8.711.000;2.066;4.132
8.812.000;2.035;4.070
8.912.000;2.008;4.016
9.012.000;1.977;3.954
9.112.000;1.951;3.901
9.212.000;1.918;3.837
9.312.000;1.891;3.782
9.412.000;1.863;3.727
9.512.000;1.839;3.678
9.613.000;1.811;3.621
9.713.000;1.784;3.568
9.814.000;1.756;3.512
9.914.000;1.734;3.468
10.014.000;1.710;3.420
10.114.000;1.681;3.362
10.215.000;1.659;3.319
10.315.000;1.639;3.278
10.416.000;1.612;3.223
10.516.000;1.588;3.176
10.616.000;1.565;3.129
10.716.000;1.543;3.087
10.816.000;1.519;3.037
10.916.000;1.499;2.999
11.016.000;1.479;2.957
11.116.000;1.460;2.920
11.217.000;1.438;2.876
11.318.000;1.417;2.834
11.418.000;1.398;2.796
11.518.000;1.378;2.755
11.618.000;1.359;2.718
11.719.000;1.340;2.681
11.819.000;1.322;2.644
11.919.000;1.303;2.605
12.019.000;1.288;2.576
12.119.000;1.266;2.531
12.219.000;1.249;2.497
