0.000;3.897;7.793
273.000;3.897;7.794
373.000;3.897;7.794
474.000;3.896;7.793
574.000;3.900;7.799
674.000;3.897;7.794
774.000;3.900;7.799
875.000;3.897;7.793
975.000;3.896;7.793
1.075.000;3.899;7.798
1.175.000;3.896;7.793
1.275.000;3.897;7.793
1.376.000;3.897;7.794
1.476.000;3.897;7.794
1.576.000;3.899;7.798
1.676.000;3.900;7.799
1.777.000;3.900;7.800
1.877.000;3.902;7.805
1.978.000;3.900;7.799
2.078.000;3.899;7.798
2.178.000;3.897;7.795
2.278.000;3.897;7.793
2.379.000;3.900;7.799
2.479.000;3.895;7.791
2.579.000;3.896;7.793
2.679.000;3.900;7.800
2.779.000;3.900;7.800
2.879.000;3.899;7.798
2.979.000;3.900;7.800
3.079.000;3.900;7.799
3.179.000;3.899;7.798
3.279.000;3.897;7.795
3.380.000;3.900;7.800
3.480.000;3.900;7.799
3.580.000;3.896;7.793
3.680.000;3.896;7.793
3.780.000;3.897;7.794
3.880.000;3.900;7.800
3.980.000;3.900;7.799
4.080.000;3.900;7.799
4.180.000;3.899;7.798
4.280.000;3.899;7.798
4.380.000;3.896;7.793
4.480.000;3.900;7.799
4.580.000;3.900;7.799
4.680.000;3.900;7.799
4.780.000;3.900;7.800
4.880.000;3.897;7.794
4.981.000;3.899;7.798
5.081.000;3.899;7.798
5.181.000;3.899;7.798
5.281.000;3.899;7.797
5.381.000;3.900;7.799
5.481.000;3.900;7.800
5.581.000;3.900;7.800
5.681.000;3.900;7.800
5.781.000;3.896;7.793
5.881.000;3.896;7.793
5.981.000;3.896;7.793
6.081.000;3.896;7.793
6.181.000;3.896;7.792
6.281.000;3.897;7.794
6.381.000;3.897;7.793
6.481.000;3.896;7.793
6.582.000;3.896;7.793
6.682.000;3.896;7.793
6.782.000;3.897;7.793
6.882.000;3.897;7.794
6.982.000;3.897;7.794
7.082.000;3.896;7.791
7.182.000;3.896;7.793
7.282.000;3.896;7.793
7.382.000;3.896;7.793
7.482.000;3.896;7.792
7.582.000;3.896;7.793
7.682.000;3.897;7.793
7.782.000;3.897;7.794
7.882.000;3.900;7.799
7.982.000;3.897;7.793
8.082.000;3.897;7.793
8.183.000;3.897;7.793
8.283.000;3.896;7.793
8.383.000;3.900;7.799
8.483.000;3.897;7.794
8.583.000;3.900;7.799
8.683.000;3.897;7.793
8.783.000;3.901;7.801
8.883.000;3.899;7.797
8.983.000;3.902;7.805
9.083.000;3.900;7.800
9.183.000;3.899;7.798
9.283.000;3.900;7.799
9.383.000;3.900;7.800
9.483.000;3.897;7.795
9.583.000;3.900;7.799
9.683.000;3.896;7.792
9.783.000;3.897;7.793
9.883.000;3.896;7.793
9.983.000;3.897;7.794
10.083.000;3.897;7.793
10.183.000;3.896;7.793
10.283.000;3.899;7.798
10.383.000;3.896;7.792
10.483.000;3.900;7.800
10.583.000;3.897;7.793
10.683.000;3.897;7.794
10.783.000;3.896;7.792
10.883.000;3.896;7.793
10.983.000;3.896;7.793
11.083.000;3.897;7.793
11.183.000;3.896;7.793
11.283.000;3.896;7.791
11.383.000;3.897;7.793
11.484.000;3.896;7.793
11.584.000;3.896;7.791
11.684.000;3.897;7.794
11.784.000;3.896;7.793
11.884.000;3.896;7.793
11.984.000;3.896;7.793
12.084.000;3.896;7.793
12.184.000;3.896;7.793
12.284.000;3.896;7.792
12.384.000;3.896;7.793
12.484.000;3.896;7.793
12.584.000;3.896;7.791
12.684.000;3.895;7.790
12.784.000;3.896;7.791
12.885.000;3.897;7.793
12.985.000;3.896;7.793
13.085.000;3.897;7.794
13.186.000;3.896;7.793
13.286.000;3.897;7.793
13.387.000;3.897;7.794
13.487.000;3.896;7.793
13.587.000;3.896;7.793
13.687.000;3.896;7.792
13.788.000;3.897;7.793
13.889.000;3.896;7.793
13.989.000;3.896;7.792
14.090.000;3.896;7.793
14.190.000;3.897;7.793
14.291.000;3.896;7.793
14.391.000;3.896;7.792
14.492.000;3.896;7.791
14.592.000;3.893;7.786
14.692.000;3.896;7.793
14.792.000;3.896;7.793
14.893.000;3.896;7.793
14.993.000;3.896;7.793
15.093.000;3.897;7.793
15.194.000;3.896;7.793
15.295.000;3.897;7.793
